Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Total Cloud Cover  [sfc];Sunshine Duration  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb]
2014;01;01;00;00;14.21;0.00;0.00;-999.00;6.19;35.54;8.59;56.98
2014;01;01;01;00;13.91;0.00;0.00;0.00;6.61;29.36;9.39;57.53
2014;01;01;02;00;13.51;0.00;0.00;0.00;7.24;26.57;9.89;56.89
2014;01;01;03;00;13.07;0.00;0.00;0.00;7.75;21.80;9.73;51.01
2014;01;01;04;00;10.72;0.00;0.00;0.00;10.25;18.43;9.69;31.33
2014;01;01;05;00;9.78;0.00;0.00;0.00;10.59;17.82;10.14;27.47
2014;01;01;06;00;9.06;0.00;0.00;0.00;11.38;18.43;11.27;26.57
2014;01;01;07;00;8.58;0.00;0.00;1.93;11.73;17.88;12.40;25.82
2014;01;01;08;00;9.37;0.00;0.00;60.00;11.38;18.43;12.40;25.82
2014;01;01;09;00;12.22;0.00;0.00;60.00;8.77;19.18;12.07;26.57
2014;01;01;10;00;15.89;0.00;0.00;60.00;6.62;22.38;12.07;26.57
2014;01;01;11;00;18.33;0.00;0.00;60.00;5.32;28.30;11.59;25.77
2014;01;01;12;00;20.06;0.00;0.00;60.00;3.60;36.87;11.75;27.35
2014;01;01;13;00;21.17;0.00;0.00;60.00;2.41;26.57;12.40;25.82
2014;01;01;14;00;21.86;0.00;0.00;60.00;1.61;26.57;11.62;16.19
2014;01;01;15;00;21.96;0.00;0.00;60.00;1.14;341.57;11.28;16.70
2014;01;01;16;00;21.30;0.00;0.00;60.00;2.28;288.43;12.30;20.56
2014;01;01;17;00;19.54;0.00;0.00;57.53;2.31;321.34;12.73;28.74
2014;01;01;18;00;18.54;0.00;0.00;0.00;4.32;360.00;12.48;33.23
2014;01;01;19;00;17.84;0.00;0.00;0.00;5.94;14.04;11.89;35.13
2014;01;01;20;00;17.30;0.00;0.00;0.00;6.95;21.25;11.30;37.23
2014;01;01;21;00;16.82;0.00;0.00;0.00;8.09;20.85;10.88;34.22
2014;01;01;22;00;16.21;0.00;0.00;0.00;8.89;21.37;10.19;32.01
2014;01;01;23;00;15.41;0.00;0.00;0.00;9.69;21.80;9.89;33.11
2014;01;02;00;00;14.39;0.00;0.00;0.00;10.03;21.04;9.29;35.54
2014;01;02;01;00;13.12;0.00;0.60;0.00;10.83;21.45;8.71;38.29
2014;01;02;02;00;11.85;0.00;3.60;0.00;11.17;20.77;8.44;39.81
2014;01;02;03;00;10.98;0.00;3.60;0.00;11.50;20.14;7.93;39.47
